,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
727,0.0546,0.0034,0.0038,0.1064,0.0,0.8185,0.64,0.74,0.22,0.21642949620749818
654,0.2529,0.006,0.0082,0.0041,0.0025,0.7031,0.74,0.45,0.25,0.17879090993567034
309,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405,0.71,0.81,0.2,0.224111561710603
2014,0.0748,0.0029,0.0056,0.0235,0.0005,0.8744,0.72,0.33,0.15,0.19203189566119194
879,0.0314,0.0018,0.0059,0.1007,0.0001,0.8485,0.46,0.51,0.18,0.20468789401807308
192,0.0705,0.0027,0.0645,0.1505,0.0,0.6772,0.38,0.34,0.13,0.16932498335189422
194,0.0808,0.0041,0.0108,0.1341,0.0033,0.7514,0.6,0.32,0.17,0.1920119393649016
1924,0.012,0.0078,0.0,0.0149,0.0,0.9653,0.01,0.15,0.17,0.185533109311465
2233,0.0086,0.0015,0.0008,0.056,0.0,0.9247,0.43,0.55,0.22,0.20943314636215635
1234,0.0145,0.0047,0.0114,0.0085,0.0014,0.9473,0.19,0.19,0.13,0.18352206328750253
2862,0.1606,0.0025,0.0166,0.1639,0.0011,0.6401,0.73,0.86,0.18,0.20987826144031554
44,0.0533,0.0027,0.0058,0.0167,0.0,0.9006,0.44,0.29,0.19,0.18790609707469755
1727,0.0128,0.0016,0.008,0.0,0.0,0.9776,0.08,0.2,0.26,0.18502709407993662
1553,0.006999999999999999,0.0024,0.0035,0.2042,0.0,0.782,0.6,0.92,0.27,0.23408360326820501
1094,0.0358,0.0035,0.0003,0.0046,0.0,0.9313,0.05,0.34,0.2,0.1881659308447256
2531,0.027000000000000003,0.0041,0.0067,0.2729,0.0,0.6802,0.26,0.6,0.25,0.21213865871509213
759,0.0231,0.0064,0.0045,0.2714,0.0076,0.6721,0.85,0.79,0.25,0.23090423961886503
2914,0.044,0.0008,0.0108,0.07400000000000001,0.0,0.8390000000000001,0.44,0.14,0.19,0.1797348215874953
2170,0.0399,0.0024,0.0061,0.4204,0.0,0.5206,0.75,0.73,0.17,0.22733923459001845
1730,0.0263,0.1827,0.0056,0.0024,0.0003,0.7692,0.48,0.54,0.27,0.21959671901530503
1517,0.0151,0.0,0.0015,0.1982,0.0,0.7756,0.71,0.93,0.28,0.23408746581621484
578,0.0641,0.0017,0.0349,0.3057,0.0002,0.5652,0.49,0.59,0.2,0.19894559915630664
485,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,0.53,0.8,0.12,0.20460923377681287
1487,0.0152,0.008,0.0094,0.0166,0.0005,0.9209,0.31,0.16,0.19,0.18181906506535375
442,0.0869,0.0025,0.0473,0.0133,0.0007,0.8223,0.01,0.09,0.12,0.1543284866379106
1637,0.0035,0.0,0.0012,0.6129,0.0,0.377,0.84,0.98,0.29,0.2519198487372196
862,0.0358,0.0012,0.0338,0.0238,0.0002,0.89,0.14,0.38,0.17,0.18156907744518902
1662,0.0128,0.0094,0.0038,0.0073,0.0,0.9449,0.5,0.78,0.17,0.21709838748042168
2648,0.5222,0.0013,0.0196,0.0563,0.0,0.3965,0.72,0.96,0.17,0.17573777778245794
859,0.0145,0.004,0.0016,0.0076,0.0,0.9661,0.29,0.55,0.18,0.20597519214468876
1874,0.0551,0.0025,0.0,0.0008,0.0,0.9282,0.19,0.14,0.18,0.18005949677188818
240,0.026,0.0047,0.0018,0.0343,0.0,0.9185,0.67,0.88,0.23,0.22490474090862786
2347,0.1181,0.0475,0.0064,0.034,0.001,0.7422,0.65,0.9,0.2,0.21309405336337586
2925,0.0878,0.0003,0.0103,0.3308,0.0,0.5423,0.68,0.3,0.15,0.1940166217783463
2423,0.0305,0.0007,0.0206,0.0126,0.0,0.9142,0.12,0.01,0.11,0.16722703439379244
695,0.0861,0.0255,0.0175,0.0069,0.0016,0.8368,0.58,0.25,0.27,0.18179153297487366
139,0.5197,0.0017,0.0069,0.0247,0.0004,0.4357,0.67,0.95,0.17,0.17739527152255966
2988,0.0,0.0014,0.0,0.0,0.0,0.9932,0.06,0.33,0.17,0.19417873965145677
346,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,0.77,0.8,0.23,0.22583636818713473
1641,0.0494,0.014,0.0063,0.0007,0.0005,0.903,0.25,0.28,0.22,0.18505896675241096
314,0.0135,0.0056,0.0005,0.4322,0.0025,0.5313,0.88,0.77,0.21,0.23606953341151785
1738,0.0301,0.0336,0.0042,0.0031,0.0001,0.9011,0.35,0.49,0.24,0.20046344213522352
322,0.0773,0.0179,0.0185,0.0139,0.0002,0.8427,0.61,0.65,0.21,0.20051683926283648
2488,0.0149,0.0006,0.0032,0.2763,0.0,0.6885,0.86,0.81,0.19,0.23085939323537694
2058,0.0403,0.0021,0.0067,0.3271,0.001,0.6117,0.84,0.83,0.2,0.23049563545876167
2240,0.0466,0.0991,0.0043,0.002,0.0,0.6839,0.83,0.85,0.23,0.20632965260212127
256,0.0805,0.0727,0.0309,0.0428,0.0051,0.6993,0.34,0.54,0.21,0.18779237806774157
1309,0.0156,0.0039,0.0039,0.0074,0.0,0.9576,0.75,0.28,0.23,0.1970655889239769
2126,0.0555,0.0022,0.013,0.1345,0.0009,0.7711,0.38,0.42,0.17,0.19393477148004576
2593,0.0334,0.0031,0.0028,0.0045,0.0,0.9395,0.59,0.79,0.27,0.21718178113867462
203,0.0978,0.0224,0.0168,0.0035,0.004,0.8186,0.74,0.5,0.14,0.19331662387929568
2283,0.2382,0.0136,0.0004,0.0058,0.0,0.7216,0.46,0.75,0.22,0.19436449017716118
298,0.0366,0.3417,0.0023,0.0057,0.0023,0.5086,0.35,0.68,0.26,0.22507201971644228
51,0.02,0.0152,0.0049,0.0042,0.0005,0.9374,0.1,0.24,0.2,0.18616443878874356
214,0.02,0.0992,0.0048,0.0083,0.0,0.8457,0.1,0.1,0.17,0.18608929675486072
63,0.0797,0.0031,0.0031,0.0227,0.0002,0.8667,0.41,0.35,0.21,0.18838840793931733
840,0.0158,0.0004,0.005,0.0067,0.0,0.9653,0.21,0.4,0.18,0.19602812448579676
2793,0.0569,0.4706,0.005,0.0015,0.0028,0.4382,0.98,0.89,0.17,0.26357256965681874
1921,0.0224,0.0003,0.003,0.0016,0.0003,0.9634,0.07,0.16,0.18,0.1823283981646872
299,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,0.85,0.82,0.23,0.238814124560816
432,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193,0.97,0.78,0.15,0.19760345794930761
1187,0.2889,0.0031,0.0455,0.2171,0.0021,0.4088,0.92,0.75,0.22,0.18303284758045152
52,0.0169,0.004,0.0052,0.0028,0.0,0.9578,0.54,0.67,0.2,0.21217146649642674
1048,0.0203,0.0009,0.0095,0.0212,0.0,0.9387,0.19,0.03,0.2,0.17605802758952663
1289,0.0246,0.0083,0.0049,0.1638,0.0,0.7814,0.81,0.79,0.24,0.22508315415071947
1084,0.0526,0.0,0.0007,0.0201,0.0,0.9105,0.61,0.25,0.18,0.19057800063639954
1190,0.0766,0.002,0.0505,0.0458,0.0003,0.7992,0.06,0.13,0.15,0.15782311399256682
718,0.0167,0.0,0.0036,0.7313,0.0014,0.2431,0.8,0.9,0.26,0.2493806804061179
1157,0.2338,0.0,0.0062,0.008,0.0,0.7121,0.41,0.62,0.2,0.1817518361371477
3072,0.0148,0.0,0.0,0.0448,0.0,0.9188,0.83,0.47,0.21,0.2077834371481563
676,0.0439,0.0012,0.0136,0.1763,0.0003,0.7464,0.29,0.53,0.23,0.20070636410648707
1173,0.0278,0.0013,0.0012,0.008,0.0,0.9443,0.56,0.18,0.18,0.18844859805060085
965,0.179,0.002,0.0087,0.0247,0.0003,0.7673,0.39,0.03,0.2,0.1619381209859967
897,0.12,0.0014,0.0052,0.0154,0.001,0.8457,0.33,0.31,0.17,0.182618180355023
2684,0.0672,0.0012,0.0045,0.1653,0.0007,0.7452,0.82,0.92,0.21,0.22710423899811588
70,0.035,0.0051,0.0035,0.0208,0.0009,0.9175,0.61,0.7,0.22,0.21348423423932744
2008,0.0354,0.0715,0.0054,0.0562,0.0022,0.8162,0.71,0.36,0.17,0.2054407065913536
1080,0.0383,0.0031,0.0134,0.0059,0.0066,0.9286,0.15,0.08,0.19,0.1769510378255216
1670,0.0231,0.0071,0.0023,0.002,0.0009,0.948,0.35,0.53,0.15,0.2033589538504416
2290,0.0201,0.0019,0.0104,0.0135,0.0001,0.9367,0.48,0.39,0.23,0.19537608904822615
3034,0.0158,0.0042,0.0039,0.0072,0.0,0.954,0.1,0.07,0.17,0.17823467393161882
1614,0.0154,0.0013,0.0077,0.7234,0.0003,0.245,0.87,0.77,0.27,0.24189996276408202
1061,0.0278,0.006,0.0,0.0076,0.0,0.947,0.06,0.01,0.21,0.17567614002165982
605,0.1641,0.002,0.0205,0.0851,0.0003,0.7118,0.52,0.41,0.19,0.18127540646608883
1898,0.2382,0.0156,0.0066,0.0074,0.0,0.72,0.57,0.3,0.17,0.1735215245987383
478,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,0.77,0.71,0.11,0.1230537812421581
949,0.2195,0.0011,0.0367,0.0119,0.0004,0.7090000000000001,0.69,0.14,0.21,0.15639457081175756
1399,0.0294,0.0025,0.0029,0.0068,0.0001,0.9411,0.13,0.26,0.19,0.18622901892669547
2351,0.0555,0.0015,0.0166,0.0257,0.0004,0.8829,0.17,0.08,0.2,0.17126866573095942
2034,0.0474,0.0024,0.0137,0.0215,0.0003,0.8984,0.23,0.1,0.13,0.17490129222324807
2274,0.0112,0.0026,0.0045,0.0313,0.0004,0.914,0.6,0.16,0.25,0.18646458597265467
289,0.0495,0.0056,0.0262,0.2405,0.0008,0.6468,0.31,0.29,0.19,0.18494318360333778
1090,0.0678,0.0032,0.0033,0.028,0.0,0.8865,0.89,0.49,0.18,0.20451111315132076
1748,0.0284,0.0035,0.0153,0.1166,0.0001,0.816,0.26,0.45,0.15,0.19560829741263297
450,0.1224,0.0141,0.0135,0.0175,0.0023,0.8019,0.47,0.56,0.12,0.19209551534202207
1770,0.0086,0.005,0.0008,0.0023,0.0,0.98,0.52,0.74,0.18,0.21926622298191586
1703,0.0159,0.002,0.0049,0.0141,0.0,0.9472,0.53,0.72,0.17,0.21439039807468876
463,0.0659,0.0135,0.0028,0.0047,0.0,0.8759999999999999,0.89,0.66,0.22,0.20918957201794758
3132,0.0273,0.0429,0.0,0.0058,0.0,0.9146,0.18,0.52,0.32,0.20522890537500205
1206,0.5505,0.0046,0.0137,0.0191,0.0004,0.3972,0.86,0.68,0.2,0.16094560208617625
2394,0.0601,0.0027,0.0187,0.1466,0.0007,0.7485,0.44,0.27,0.18,0.18542966465171187
1691,0.035,0.0093,0.0053,0.0011,0.0,0.9295,0.19,0.2,0.24,0.1827162498758249
76,0.0981,0.0023,0.0263,0.0143,0.0002,0.8385,0.22,0.19,0.18,0.16883814086047927
331,0.0368,0.0018,0.0411,0.2273,0.0,0.6744,0.66,0.58,0.2,0.20043868510302335
610,0.1811,0.001,0.04,0.1249,0.0001,0.6289,0.52,0.04,0.11,0.1548833516052577
2225,0.056,0.2118,0.0013,0.0569,0.0,0.6268,0.81,0.88,0.22,0.23732571185362492
144,0.4974,0.0116,0.0,0.0,0.0,0.491,0.76,0.83,0.18,0.1791398934484419
1786,0.0402,0.002,0.0334,0.4623,0.0005,0.4364,0.78,0.78,0.15,0.21969054862902146
45,0.0201,0.0056,0.0012,0.0062,0.0,0.9481,0.77,0.71,0.23,0.21743009858855938
2808,0.0468,0.0159,0.0032,0.0001,0.0011,0.9122,0.11,0.49,0.16,0.19583545588999324
343,0.1392,0.0024,0.0206,0.0156,0.0008,0.7918,0.88,0.84,0.22,0.20499048178032364
1124,0.476,0.0,0.0043,0.0004,0.0,0.5165,0.38,0.72,0.2,0.16827166661876528
3009,0.2133,0.0026,0.0162,0.017,0.0013,0.7167,0.68,0.47,0.13,0.17846177172438246
544,0.0515,0.0014,0.0017,0.103,0.0,0.8277,0.93,0.92,0.25,0.22928538341243807
2019,0.0491,0.0049,0.0367,0.1084,0.0002,0.7685,0.52,0.17,0.14,0.17403560532132684
152,0.5044,0.001,0.0029,0.0648,0.0,0.4164,0.94,0.99,0.18,0.1866913531786852
2708,0.5219,0.0042,0.0097,0.056,0.0013,0.3967,0.87,0.97,0.18,0.18113817478165622
2619,0.0299,0.0049,0.0035,0.0067,0.0,0.9443,0.54,0.48,0.25,0.20293161818796981
2576,0.0358,0.004,0.005,0.0417,0.0,0.8947,0.43,0.8,0.25,0.21545317089683158
3060,0.0574,0.0024,0.0136,0.0612,0.0,0.8321,0.23,0.08,0.19,0.17136894927943952
0,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.93,0.94,0.23,0.24958686908540967
1461,0.0353,0.0034,0.0082,0.0769,0.0002,0.8464,0.55,0.32,0.22,0.1921722123911352
705,0.0566,0.0033,0.0174,0.3636,0.0007,0.5378,0.87,0.82,0.26,0.22467350360615446
408,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516,0.2,0.47,0.11,0.18591665339501423
2337,0.0537,0.1248,0.0078,0.0242,0.0009,0.654,0.65,0.5,0.23,0.19304151640569597
2247,0.1826,0.0338,0.0113,0.0309,0.0003,0.6823,0.75,0.55,0.2,0.18673044494508054
2402,0.0684,0.0014,0.0235,0.2024,0.0002,0.6834,0.76,0.45,0.19,0.19732701015781542
1338,0.0129,0.0034,0.0024,0.0088,0.0,0.9599,0.84,0.23,0.23,0.19642791867632975
2555,0.0222,0.0016,0.0022,0.0,0.0,0.968,0.02,0.03,0.2,0.1762152311427466
1459,0.0349,0.0584,0.005,0.0652,0.0013,0.7767,0.53,0.51,0.21,0.2023260621311537
1839,0.0156,0.0032,0.008,0.0065,0.0,0.9501,0.15,0.15,0.15,0.1809461505932518
32,0.0731,0.0016,0.0069,0.1354,0.0,0.7555,0.55,0.22,0.13,0.18584474179456034
211,0.0429,0.0054,0.0241,0.0084,0.0,0.9091,0.02,0.06,0.16,0.16798590335787433
2543,0.0272,0.0054,0.0037,0.02,0.0,0.926,0.26,0.82,0.27,0.21524083936126032
14,0.095,0.0017,0.1291,0.0332,0.0002,0.7170000000000001,0.04,0.44,0.16,0.1434740924519654
93,0.1091,0.001,0.0118,0.0538,0.0004,0.8042,0.13,0.15,0.16,0.17082368102105588
2746,0.2634,0.0018,0.0158,0.1426,0.0002,0.5593,0.84,0.88,0.18,0.20109720687010546
2498,0.0385,0.0382,0.0034,0.0025,0.0,0.8983,0.23,0.24,0.21,0.18810047096953814
831,0.0295,0.0004,0.002,0.0584,0.0,0.8824,0.75,0.62,0.18,0.2113476234413434
354,0.1397,0.0036,0.006,0.0267,0.0005,0.8075,0.73,0.64,0.21,0.20094574958270797
149,0.2099,0.0018,0.0022,0.0039,0.0,0.7822,0.77,0.95,0.19,0.21223100003638753
254,0.1539,0.0,0.0006,0.28800000000000003,0.0,0.555,0.98,0.73,0.23,0.21804095669437726
1423,0.0507,0.0012,0.0182,0.1038,0.0008,0.7893,0.61,0.28,0.15,0.18574903993276737
2575,0.014,0.0024,0.0043,0.0032,0.0,0.9631,0.73,0.81,0.27,0.22181885519179834
184,0.011,0.0,0.0126,0.5668,0.0,0.3686,0.72,0.36,0.17,0.20903908163313728
1760,0.0162,0.0029,0.0054,0.0059,0.0006,0.9595,0.44,0.65,0.16,0.21067824490940715
1091,0.0269,0.0023,0.001,0.008,0.0,0.9329,0.2,0.33,0.19,0.18953311402348746
789,0.218,0.003,0.0118,0.0209,0.0,0.73,0.47,0.35,0.16,0.17353595360391158
