,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
1236,0.0255,0.002,0.0042,0.0729,0.0003,0.8657,0.71,0.16,0.2,0.18868530871322367
2981,0.0587,0.0029,0.0415,0.1464,0.0,0.7232,0.57,0.25,0.18,0.17753990381770218
2740,0.1129,0.0067,0.0064,0.0563,0.0004,0.7879,0.58,0.86,0.19,0.21113516563842402
2458,0.002,0.0108,0.0007,0.0,0.0,0.9811,0.01,0.21,0.21,0.1881564885945813
2899,0.0305,0.0006,0.0041,0.0592,0.0,0.8971,0.64,0.36,0.17,0.19964338310498744
2370,0.028,0.1598,0.0011,0.0268,0.0,0.6788,0.78,0.78,0.23,0.22047357208300952
2760,0.3063,0.0036,0.066,0.1365,0.0001,0.4721,0.51,0.69,0.16,0.16644982676624587
801,0.0328,0.004,0.0107,0.0509,0.0,0.8782,0.17,0.34,0.18,0.18794970079478338
443,0.1003,0.0218,0.0321,0.0113,0.0014,0.7979999999999999,0.7,0.57,0.13,0.19050705137202983
1764,0.0532,0.0233,0.0143,0.0087,0.0099,0.8611,0.43,0.67,0.17,0.205643775493562
564,0.033,0.001,0.0015,0.2197,0.0,0.7327,0.68,0.75,0.23,0.22358486143712672
1964,0.0877,0.0018,0.0359,0.1448,0.0002,0.7057,0.52,0.2,0.14,0.1739770600157723
1909,0.0829,0.0,0.0,0.0,0.0,0.9171,0.04,0.36,0.18,0.18782034458698227
2510,0.0377,0.0083,0.0003,0.4084,0.0037,0.5398,0.56,0.8,0.19,0.23292984849487647
2722,0.5472,0.0012,0.0104,0.0641,0.0,0.3584,0.84,0.97,0.17,0.17632280361873945
2704,0.9218,0.0006,0.0094,0.0042,0.0001,0.0614,0.98,0.99,0.17,0.1428164693703244
864,0.0096,0.0013,0.0,0.0879,0.0,0.8868,0.57,0.43,0.17,0.2055686907765245
175,0.0496,0.0,0.0277,0.311,0.0,0.594,0.86,0.5,0.18,0.20483709201536252
555,0.109,0.0015,0.0366,0.117,0.0001,0.7134,0.42,0.68,0.23,0.1927890795110306
2689,0.3101,0.0,0.0054,0.0804,0.0,0.5846,0.75,0.92,0.19,0.19840230467589637
1554,0.0309,0.0006,0.0025,0.1276,0.0,0.8181,0.71,0.78,0.27,0.2213120532191156
1600,0.0247,0.0479,0.0052,0.0046,0.0003,0.8883,0.59,0.63,0.13,0.21155951317547111
1602,0.0653,0.0038,0.0109,0.0511,0.0029,0.8327,0.72,0.7,0.17,0.20799995441403607
940,0.0642,0.0014,0.0,0.0024,0.0,0.9295,0.34,0.64,0.19,0.20672798699484682
1627,0.016,0.0036,0.0003,0.0715,0.0003,0.9002,0.55,0.62,0.27,0.2144900063930768
1937,0.0,0.0093,0.0,0.0,0.0,0.9504,0.0,0.16,0.18,0.18045040645849172
449,0.4189,0.0038,0.0087,0.0062,0.0007,0.5312,0.96,0.71,0.18,0.1756214753201243
1133,0.0317,0.0021,0.0009,0.0188,0.0,0.9302,0.27,0.52,0.19,0.2013727112721154
1518,0.0317,0.0018,0.0003,0.0262,0.0,0.9319,0.67,0.83,0.29,0.22300519278025582
3091,0.0108,0.0017,0.0077,0.0023,0.0011,0.9637,0.35,0.51,0.32,0.2019708167913026
2355,0.0191,0.001,0.0079,0.08800000000000001,0.0002,0.8548,0.62,0.3,0.23,0.19402168973594322
874,0.0153,0.0027,0.0035,0.0044,0.0,0.9559,0.05,0.24,0.18,0.18522492882272898
1135,0.0669,0.0014,0.0045,0.0408,0.003,0.8653,0.78,0.44,0.19,0.2002240819872323
1933,0.1158,0.0131,0.0239,0.3597,0.0026,0.4346,0.86,0.72,0.22,0.2081133334902784
2293,0.009000000000000001,0.0015,0.0044,0.0049,0.0001,0.9637,0.17,0.18,0.22,0.18439834439360486
817,0.1703,0.0099,0.0037,0.0019,0.0,0.7893,0.85,0.67,0.22,0.1999609960442167
1017,0.0201,0.0028,0.0089,0.0045,0.0,0.957,0.09,0.0,0.18,0.17368920686863804
507,0.3205,0.0041,0.0021,0.0365,0.0,0.6337,0.9,0.82,0.19,0.197272734724267
2022,0.0797,0.0041,0.0493,0.3353,0.0005,0.5035,0.64,0.59,0.18,0.19555605804675746
266,0.0262,0.0018,0.004,0.2655,0.001,0.6917,0.55,0.65,0.23,0.21893205448553518
196,0.0691,0.0012,0.0209,0.4658,0.0001,0.408,0.77,0.4,0.17,0.20113793972846258
1213,0.0567,0.0013,0.0212,0.1123,0.0031,0.7602,0.57,0.08,0.21,0.17335192609581432
88,0.057,0.0021,0.0015,0.0036,0.0,0.9219,0.12,0.08,0.18,0.17555345743155426
969,0.0249,0.0001,0.002,0.0009,0.0,0.9694,0.05,0.0,0.19,0.1753681850630943
1316,0.0061,0.0004,0.0004,0.4319,0.0,0.5431,0.94,0.94,0.25,0.24413899497677385
1650,0.0248,0.0032,0.0028,0.0191,0.0002,0.9303,0.29,0.64,0.17,0.20705641240853803
1295,0.0228,0.0023,0.001,0.3012,0.0,0.6554,1.0,0.83,0.25,0.23429342714841847
979,0.044,0.0029,0.0031,0.004,0.0,0.9343,0.14,0.09,0.2,0.17746101720763874
1006,0.0195,0.0031,0.0036,0.0154,0.0,0.9424,0.16,0.0,0.19,0.175332322444822
410,0.0064,0.003,0.0043,0.4298,0.0,0.5416,0.85,0.76,0.24,0.23365269051687174
1798,0.1181,0.0,0.0,0.0021,0.0,0.8761,0.3,0.26,0.18,0.18227319489441288
581,0.3164,0.0012,0.0507,0.1979,0.0006,0.4002,0.67,0.72,0.2,0.17306564977168107
1128,0.0196,0.0069,0.0015,0.2401,0.0,0.7082,0.87,0.49,0.19,0.21411021489144635
25,0.0014,0.0,0.0,0.4339,0.0,0.5618,0.81,0.98,0.27,0.2474343778809778
2083,0.0558,0.0014,0.0018,0.0034,0.0,0.92,0.42,0.59,0.19,0.20321262636286438
1011,0.0264,0.0005,0.0031,0.0064,0.0042,0.9434,0.12,0.0,0.19,0.17481227497618843
1941,0.7774,0.0103,0.0097,0.0093,0.0,0.1783,0.99,0.64,0.12,0.1394393169972405
903,0.0054,0.0002,0.0028,0.0084,0.0004,0.9614,0.33,0.51,0.2,0.20245331198409558
2779,0.1236,0.0057,0.0077,0.0042,0.0062,0.8313,0.31,0.51,0.16,0.1904514099299646
1953,0.0398,0.0033,0.0042,0.0553,0.0002,0.8721,0.12,0.41,0.18,0.19205955287502574
321,0.0284,0.0058,0.0047,0.1608,0.0009,0.782,0.43,0.53,0.22,0.207322166610847
1073,0.0345,0.0021,0.0801,0.0222,0.0,0.8384,0.21,0.05,0.19,0.14962455194518917
680,0.1148,0.0022,0.0019,0.2917,0.0002,0.5766,0.91,0.95,0.27,0.2299315487705889
1739,0.0128,0.0102,0.0103,0.003,0.0,0.9546,0.51,0.93,0.15,0.2241379896859483
423,0.3236,0.0129,0.0084,0.0012,0.0004,0.6384,0.45,0.31,0.16,0.16256725971599428
1411,0.0226,0.0093,0.0075,0.0073,0.0001,0.938,0.45,0.41,0.2,0.19749814366865204
67,0.0164,0.0059,0.0015,0.005,0.0005,0.9551,0.67,0.69,0.19,0.21608232362298416
1729,0.0255,0.0069,0.0361,0.0222,0.0,0.8873,0.66,0.69,0.15,0.2026076154473254
1510,0.0211,0.0011,0.0071,0.4938,0.0002,0.4707,0.86,0.92,0.26,0.2421468908364621
1606,0.0204,0.0019,0.0001,0.4835,0.0006,0.4692,0.89,0.9,0.29,0.2410328987124967
31,0.0172,0.0044,0.0125,0.0079,0.0003,0.9424,0.09,0.13,0.11,0.17793836198679705
2671,0.2556,0.0,0.0,0.0407,0.0,0.6988,0.2,0.88,0.18,0.19797650748790574
527,0.0943,0.006,0.0014,0.3365,0.0,0.5471,0.99,0.99,0.26,0.23631669316775475
2360,0.0619,0.0348,0.0033,0.0816,0.0003,0.7765,0.3,0.49,0.21,0.19719260092418725
457,0.0046,0.0,0.009000000000000001,0.2815,0.0,0.6939,0.85,0.74,0.23,0.22736678252352857
1803,0.0216,0.0025,0.0209,0.0136,0.0001,0.9242,0.15,0.03,0.14,0.17023662209205
1532,0.0855,0.0142,0.0068,0.0035,0.0,0.8787,0.2,0.56,0.12,0.1964064330036721
1993,0.0163,0.0023,0.0117,0.0142,0.0003,0.944,0.58,0.44,0.16,0.20003634086380237
2911,0.036000000000000004,0.0,0.0062,0.3927,0.0,0.5485,0.56,0.23,0.15,0.19933188882028083
2284,0.0887,0.0089,0.0266,0.0101,0.0024,0.8182,0.65,0.55,0.16,0.18947275042260325
2667,0.3985,0.0,0.0,0.0103,0.0,0.5837,0.36,0.89,0.18,0.1849406233658033
166,0.5207,0.0,0.0,0.0,0.0,0.4695,0.41,0.8,0.18,0.16839808250623853
124,0.0628,0.0097,0.0112,0.0045,0.0,0.8977,0.32,0.68,0.19,0.20364000161997284
2587,0.0302,0.0198,0.0,0.0,0.0,0.945,0.05,0.12,0.2,0.182608701286033
3043,0.0401,0.0047,0.0273,0.0097,0.0,0.9053,0.16,0.12,0.17,0.17135500272079995
1286,0.0315,0.0072,0.0129,0.3142,0.0001,0.6122,0.91,0.62,0.25,0.21820568999215909
729,0.0047,0.0,0.006,0.6111,0.0,0.3749,0.89,0.91,0.26,0.2476995985768348
2636,0.0038,0.0073,0.0017,0.054000000000000006,0.002,0.92,0.56,0.88,0.26,0.22757122733909327
1593,0.0493,0.0024,0.0579,0.0599,0.0008,0.8007,0.26,0.13,0.09,0.1605558138644194
2398,0.0127,0.0006,0.0053,0.0069,0.0003,0.9608,0.32,0.16,0.17,0.18515553765347117
1100,0.0332,0.003,0.0084,0.0792,0.0,0.8540000000000001,0.43,0.1,0.19,0.18137629176621492
2727,0.124,0.0089,0.006999999999999999,0.0076,0.0006,0.8422,0.26,0.66,0.17,0.19810789200476006
1106,0.0341,0.0089,0.0,0.023,0.0033,0.9231,0.24,0.53,0.19,0.2043948652382944
1847,0.0179,0.0036,0.0046,0.0003,0.0,0.9556,0.13,0.17,0.17,0.18222995739516604
1376,0.0037,0.0006,0.0,0.3385,0.0004,0.6513,0.95,0.91,0.26,0.2426223917532529
937,0.0381,0.0051,0.0017,0.0011,0.0,0.9373,0.53,0.03,0.21,0.1799066944938746
2195,0.0167,0.0008,0.0053,0.0099,0.0004,0.9526,0.32,0.24,0.23,0.1885835662441873
1902,0.0254,0.0,0.0022,0.0016,0.0003,0.955,0.08,0.26,0.18,0.18618508841233647
700,0.022,0.0009,0.0025,0.3974,0.0,0.5635,0.87,0.84,0.26,0.23588969733809922
176,0.0294,0.0025,0.0058,0.1472,0.0,0.7804,0.33,0.21,0.15,0.1866031021526683
1340,0.093,0.012,0.0187,0.1435,0.0041,0.7006,0.74,0.9,0.25,0.21686542987352453
929,0.0783,0.0,0.0071,0.0065,0.0,0.9021,0.21,0.34,0.19,0.18627201264624307
2771,0.1858,0.0,0.0027,0.0119,0.0077,0.7912,0.56,0.71,0.17,0.20205005014220281
1422,0.0241,0.0021,0.0063,0.0048,0.0,0.9519,0.27,0.37,0.21,0.19353517579152085
1709,0.0143,0.0048,0.0034,0.0041,0.0,0.9591,0.09,0.49,0.15,0.1986587934160589
2460,0.0709,0.0007,0.006999999999999999,0.0129,0.0,0.8901,0.21,0.14,0.17,0.17573316819203288
2867,0.9389,0.0,0.0002,0.0033,0.0,0.0508,1.0,1.0,0.17,0.14422850511397173
433,0.2511,0.0337,0.0203,0.0072,0.0019,0.6519,0.88,0.69,0.14,0.188773370424735
80,0.0263,0.0009,0.0049,0.0055,0.0,0.9468,0.05,0.17,0.18,0.1805683113740064
881,0.1536,0.0036,0.0128,0.0113,0.0002,0.7971,0.72,0.78,0.2,0.2024577654319948
1195,0.0075,0.004,0.0008,0.0149,0.0,0.9509,0.64,0.14,0.22,0.1894271636822262
3024,0.0213,0.0008,0.0345,0.0358,0.0,0.8793,0.41,0.17,0.18,0.17430866834947853
416,0.244,0.0015,0.2831,0.0218,0.0132,0.3924,0.26,0.4,0.08,0.07605462796428253
764,0.0306,0.0,0.0044,0.399,0.0123,0.5352,0.94,0.83,0.26,0.23688331726614298
495,0.1557,0.0054,0.0014,0.0099,0.0,0.8032,0.55,0.55,0.17,0.1925665393897704
2958,0.6358,0.0037,0.006999999999999999,0.0042,0.0021,0.3382,0.96,0.86,0.13,0.16540551797290062
1825,0.0475,0.0065,0.0,0.0,0.0,0.9439,0.11,0.36,0.18,0.19247215371575607
1457,0.0419,0.0021,0.0276,0.0175,0.0001,0.8883,0.01,0.28,0.09,0.17536986204939395
370,0.0572,0.0102,0.012,0.001,0.0059,0.8933,0.65,0.74,0.2,0.21131907741130881
1151,0.0671,0.0077,0.0121,0.0,0.0026,0.9105,0.03,0.27,0.19,0.18206558693290156
2685,0.1834,0.0036,0.0055,0.0161,0.0,0.7783,0.62,0.89,0.19,0.2074061398505928
2023,0.3836,0.3903,0.0015,0.0088,0.0003,0.1931,1.0,0.71,0.26,0.21685344274836543
2656,0.2108,0.0007,0.0088,0.0185,0.002,0.7456,0.63,0.87,0.17,0.20291118057546084
1511,0.0379,0.0164,0.0116,0.0101,0.0,0.9066,0.3,0.27,0.12,0.1862649025840617
2795,0.1153,0.003,0.0024,0.0021,0.0,0.8544,0.69,0.72,0.18,0.20601211115677862
2189,0.0312,0.0019,0.0082,0.1184,0.0,0.8071,0.58,0.16,0.24,0.18572104415964044
2949,0.0942,0.0262,0.041,0.0093,0.0027,0.7892,0.45,0.46,0.12,0.17987641916184213
1241,0.0121,0.0072,0.0038,0.0081,0.0015,0.9577,0.83,0.38,0.23,0.20423688122989045
1078,0.0488,0.0018,0.0259,0.0223,0.0005,0.8804,0.31,0.04,0.21,0.16808712039105275
141,0.4167,0.0014,0.0,0.0,0.0,0.5484,0.59,0.97,0.18,0.185614933023296
2110,0.0314,0.019,0.0,0.0,0.0,0.9019,0.09,0.15,0.31,0.1776515436662387
1723,0.0295,0.003,0.0057,0.0069,0.0,0.9334,0.15,0.45,0.15,0.19398122028458187
1456,0.0275,0.0039,0.023,0.0133,0.0005,0.9148,0.16,0.16,0.19,0.17551818689906667
1725,0.0153,0.0005,0.0015,0.0054,0.0,0.964,0.22,0.48,0.16,0.2001992502321554
1047,0.03,0.0015,0.0111,0.0477,0.0,0.8813,0.71,0.71,0.2,0.21160169147010893
532,0.0399,0.0033,0.0127,0.2776,0.0026,0.6348,0.81,0.76,0.25,0.22096378612149864
621,0.0412,0.005,0.0028,0.3435,0.0,0.5961,0.57,0.8,0.25,0.22732705280538582
962,0.0978,0.0723,0.0046,0.0092,0.0,0.8075,0.33,0.1,0.21,0.18110732999125478
944,0.0165,0.0,0.0011,0.0163,0.0,0.9569,0.26,0.67,0.2,0.2107617399174092
3081,0.0303,0.0026,0.003,0.0073,0.0,0.9445,0.06,0.14,0.17,0.18022570120805848
411,0.206,0.03,0.0107,0.0207,0.0007,0.705,0.92,0.82,0.14,0.204209793752694
1360,0.0275,0.0033,0.0008,0.0276,0.0013,0.9278,0.8,0.09,0.22,0.18926652083031031
177,0.1362,0.0022,0.1846,0.0726,0.0008,0.5611,0.09,0.05,0.1,0.1005549367096183
926,0.0203,0.0021,0.0064,0.0362,0.0,0.9117,0.74,0.43,0.18,0.20164264373212387
3020,0.0515,0.0046,0.0124,0.014,0.0003,0.8961,0.2,0.07,0.16,0.17233958444079325
1572,0.0011,0.0011,0.0,0.7457,0.0,0.2507,0.97,0.96,0.3,0.257780326030861
1813,0.2444,0.0136,0.0522,0.0215,0.006,0.6308,0.53,0.69,0.17,0.17405382346512124
2912,0.0296,0.0057,0.0009,0.3537,0.0001,0.6001,0.78,0.44,0.18,0.21511779226585317
637,0.0694,0.0004,0.0001,0.4908,0.0,0.4259,0.95,0.96,0.24,0.24143563373469876
479,0.2959,0.002,0.0065,0.0112,0.0006,0.672,0.14,0.19,0.14,0.15620643101109746
183,0.1718,0.0,0.1717,0.0492,0.0,0.5622,0.24,0.02,0.1,0.1004375197184988
1359,0.0188,0.001,0.0016,0.3158,0.0,0.6612,0.78,0.84,0.27,0.2349564566763074
2841,0.0369,0.0014,0.0035,0.0302,0.0,0.8918,0.25,0.54,0.17,0.19780327794133767
2057,0.0274,0.0031,0.006,0.0279,0.0001,0.9232,0.4,0.18,0.14,0.18636412219447762
3038,0.0316,0.0016,0.013,0.0131,0.0003,0.9286,0.01,0.06,0.14,0.17241153518529825
790,0.028,0.0005,0.0033,0.0057,0.0,0.9501,0.23,0.61,0.21,0.2048331143495118
2384,0.0752,0.0003,0.028,0.0258,0.0004,0.852,0.53,0.11,0.17,0.17113781146611692
932,0.0314,0.003,0.0069,0.0275,0.0,0.9114,0.26,0.06,0.2,0.17689730232869527
1023,0.016,0.0,0.0043,0.0031,0.0001,0.9651,0.16,0.07,0.2,0.17892942243925186
1618,0.0337,0.002,0.0208,0.0642,0.0,0.8602,0.39,0.27,0.12,0.18469368654865403
486,0.1066,0.0095,0.0,0.0007,0.0,0.8757,0.05,0.78,0.11,0.20541620656639117
1576,0.0499,0.0001,0.0029,0.0207,0.0061,0.9118,0.32,0.39,0.11,0.19579725067287898
393,0.171,0.0035,0.0275,0.0599,0.0035,0.691,0.39,0.18,0.17,0.16133959306785237
2044,0.0481,0.0066,0.0058,0.0968,0.0001,0.8191,0.36,0.27,0.15,0.18869601023647176
1255,0.0148,0.0044,0.0046,0.005,0.0,0.9517,0.22,0.31,0.13,0.19037008623088272
2106,0.1535,0.003,0.0144,0.1759,0.0,0.6327,0.87,0.85,0.17,0.21192977556352766
162,0.0728,0.0032,0.0008,0.1675,0.0,0.7339,0.56,0.99,0.19,0.2270326186735079
1832,0.034,0.0045,0.0,0.0048,0.0,0.9475,0.15,0.19,0.18,0.18500871339023683
1356,0.0374,0.0045,0.0044,0.1236,0.0001,0.8024,0.65,0.82,0.24,0.2202706059553489
2820,0.0004,0.0,0.0,0.001,0.0,0.9863,0.07,0.15,0.14,0.18444271321184622
430,0.0304,0.0009,0.0005,0.0457,0.0,0.8681,0.83,0.71,0.24,0.21252652431196237
1102,0.0573,0.0024,0.0113,0.0108,0.0033,0.8941,0.16,0.37,0.19,0.18650991338467696
438,0.1896,0.0274,0.0139,0.0848,0.008,0.6543,0.6,0.7,0.15,0.19902571948460532
2854,0.0456,0.0022,0.0007,0.0564,0.0029,0.8553,0.53,0.93,0.21,0.2215612195955664
2885,0.0241,0.0067,0.0051,0.1791,0.0006,0.7469,0.47,0.42,0.15,0.20020716617851983
1003,0.0549,0.0078,0.0162,0.008,0.0,0.8947,0.28,0.64,0.2,0.1995415984983834
1220,0.0337,0.0008,0.018000000000000002,0.0931,0.0007,0.8157,0.55,0.15,0.19,0.17983285632393317
1074,0.0206,0.0,0.0055,0.0055,0.0,0.9599,0.05,0.01,0.21,0.17428521644804615
1237,0.0167,0.0051,0.0034,0.4329,0.0,0.5336,0.82,0.58,0.24,0.22521798164790457
30,0.0236,0.0512,0.0046,0.0042,0.0003,0.8944,0.64,0.5,0.14,0.2076872152392279
2928,0.2169,0.0061,0.0249,0.0142,0.0007,0.7042,0.51,0.37,0.12,0.16822378937716514
755,0.2839,0.0015,0.0178,0.0708,0.0001,0.6082,0.66,0.63,0.22,0.18184924920577705
3110,0.0191,0.0045,0.0001,0.0064,0.0013,0.9472,0.35,0.21,0.17,0.18838548830362783
1211,0.6123,0.0055,0.0265,0.0451,0.0,0.3009,0.91,0.79,0.2,0.15777569998829366
173,0.0265,0.0081,0.012,0.1607,0.0,0.7677,0.04,0.06,0.14,0.17628340952950902
3109,0.0175,0.0054,0.0032,0.0074,0.0004,0.9526,0.3,0.12,0.16,0.18366193361875355
296,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925,0.57,0.61,0.24,0.20826661333245688
325,0.0031,0.0218,0.0258,0.0116,0.0,0.8424,0.1,0.61,0.21,0.18691430653044533
1288,0.0663,0.0047,0.0187,0.2261,0.0001,0.6674,0.59,0.71,0.24,0.21109170889253068
506,0.1258,0.032,0.016,0.0157,0.0029,0.7609999999999999,0.72,0.68,0.15,0.1985856518212243
279,0.0371,0.7091,0.0135,0.0159,0.0006,0.154,0.87,0.83,0.26,0.2718584514188007
2003,0.3035,0.0205,0.0075,0.004,0.0,0.6469,0.91,0.62,0.14,0.18584436686821726
2174,0.0873,0.003,0.0043,0.0039,0.0004,0.89,0.18,0.06,0.21,0.1719862627563665
2837,0.0635,0.006999999999999999,0.0067,0.0002,0.0027,0.9105,0.26,0.52,0.17,0.19768932280364926
572,0.2792,0.0017,0.0129,0.0668,0.0,0.6283,0.46,0.46,0.16,0.17422435085271806
2319,0.157,0.0523,0.0081,0.0261,0.0,0.7096,0.63,0.67,0.23,0.19789605688076975
1432,0.0139,0.0047,0.0057,0.0058,0.0,0.9554,0.28,0.33,0.19,0.19263686101395966
2597,0.032,0.1185,0.0002,0.0014,0.0,0.8222,0.41,0.11,0.29,0.19176887669403841
557,0.1238,0.0011,0.013,0.0882,0.0004,0.7529,0.4,0.51,0.19,0.1905022380950845
1569,0.0214,0.0056,0.0076,0.0555,0.0007,0.8856,0.82,0.75,0.18,0.218473910662932
1545,0.0082,0.0,0.001,0.4632,0.0,0.5266,0.86,0.98,0.27,0.24818177074167808
736,0.0484,0.0022,0.0082,0.0204,0.0014,0.9056,0.43,0.65,0.21,0.20624100921842514
73,0.0132,0.0118,0.0015,0.0024,0.0003,0.9586,0.37,0.38,0.19,0.19864075332000014
2807,0.6096,0.0095,0.0,0.0225,0.0,0.3512,0.65,0.99,0.18,0.17356317841680655
48,0.0539,0.005,0.023,0.0658,0.0003,0.8284,0.31,0.26,0.17,0.1800967942076073
601,0.063,0.0021,0.0106,0.1779,0.0,0.7227,0.86,0.74,0.26,0.21633521143649456
679,0.0459,0.0008,0.0094,0.0931,0.0,0.8346,0.85,0.74,0.24,0.21696871614873597
1450,0.0524,0.0044,0.0241,0.1037,0.0001,0.7752,0.72,0.32,0.2,0.18632956095733327
1896,0.0461,0.0048,0.0016,0.0016,0.0,0.9426,0.01,0.15,0.17,0.18042032547285383
1357,0.03,0.0039,0.01,0.2905,0.0,0.6432,0.78,0.76,0.25,0.2233649340150185
2171,0.0294,0.0995,0.0085,0.001,0.0,0.8303,0.35,0.27,0.29,0.19356237896612322
1326,0.0123,0.0186,0.0045,0.0094,0.0001,0.9412,0.59,0.51,0.14,0.20720204418745553
1575,0.0434,0.3836,0.0035,0.0053,0.002,0.4536,0.87,0.86,0.14,0.24184169687848625
402,0.1251,0.3022,0.0096,0.0087,0.0,0.5303,0.73,0.9,0.12,0.23760662043290529
1741,0.0176,0.0064,0.0025,0.0041,0.0,0.9431,0.63,0.86,0.15,0.2214946535105702
1114,0.3641,0.0039,0.0032,0.0077,0.0,0.6056,0.67,0.84,0.2,0.18780123754965847
1552,0.0382,0.0056,0.0057,0.0802,0.0,0.8469,0.59,0.88,0.27,0.22135677153746997
2424,0.0275,0.0012,0.0112,0.0171,0.0003,0.9321,0.28,0.16,0.17,0.1819279562795246
1210,0.0501,0.0011,0.0043,0.002,0.0,0.9157,0.24,0.52,0.19,0.19576919985744426
2567,0.0208,0.0015,0.0079,0.0685,0.0,0.897,0.76,0.94,0.27,0.22968422922728252
2446,0.0202,0.0047,0.002,0.3698,0.0,0.5866,0.74,0.81,0.2,0.2322228094076905
794,0.0267,0.0014,0.0115,0.0834,0.0001,0.8555,0.81,0.29,0.18,0.19502472508661356
2930,0.068,0.0007,0.0026,0.6284,0.0,0.2446,0.96,0.59,0.18,0.22038276093458972
2348,0.0516,0.0093,0.0098,0.0045,0.0017,0.8852,0.4,0.58,0.17,0.1980703358125146
2138,0.033,0.0009,0.0264,0.2539,0.0006,0.6521,0.54,0.09,0.19,0.17936295272275413
1010,0.0126,0.001,0.0044,0.0039,0.0,0.9641,0.03,0.57,0.18,0.20127985441608534
1672,0.0373,0.0076,0.0135,0.0039,0.0001,0.9161,0.04,0.14,0.22,0.1745766374573095
678,0.1304,0.0036,0.0091,0.0044,0.0011,0.8303,0.36,0.19,0.25,0.17321396568922756
2922,0.5309,0.0032,0.0203,0.0184,0.0015,0.4037,0.87,0.63,0.13,0.15729548353481826
324,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,0.87,0.83,0.23,0.23980183604842814
2025,0.5603,0.0023,0.0359,0.2923,0.0003,0.0914,0.99,0.51,0.16,0.15293788837970843
1097,0.1618,0.0099,0.0296,0.1768,0.0103,0.5660000000000001,0.66,0.49,0.22,0.18502148997225665
1807,0.1579,0.0165,0.0,0.0258,0.0,0.7988,0.64,0.98,0.21,0.21971521256332183
809,0.0248,0.0009,0.0143,0.0686,0.0008,0.868,0.57,0.59,0.19,0.20513130751541814
1966,0.1599,0.0023,0.0163,0.07400000000000001,0.0,0.7151,0.79,0.4,0.14,0.18316570704673207
642,0.0619,0.0008,0.0304,0.0494,0.0,0.8390000000000001,0.12,0.0,0.1,0.16176131288338574
2204,0.0204,0.001,0.006999999999999999,0.0584,0.0001,0.8849,0.34,0.12,0.24,0.18126820982809
1127,0.0616,0.0077,0.0128,0.0319,0.0,0.8572,0.4,0.49,0.19,0.19339594697772286
501,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314,0.27,0.54,0.15,0.19087887367526565
691,0.0651,0.0,0.0,0.2513,0.0,0.6799,0.82,0.71,0.24,0.2228859422881428
2117,0.0421,0.0012,0.0179,0.1119,0.0,0.8082,0.63,0.53,0.18,0.2017351185852824
2607,0.0289,0.0026,0.004,0.0214,0.0,0.9305,0.54,0.57,0.25,0.20710455360724242
239,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098,0.69,0.84,0.23,0.22471622260270166
2599,0.022,0.1041,0.0,0.0504,0.0,0.7905,0.39,0.27,0.21,0.19927366405060734
1987,0.1509,0.0044,0.0008,0.3466,0.0003,0.4676,0.99,0.86,0.2,0.22253930530969893
1242,0.0244,0.0041,0.0067,0.0983,0.0,0.8517,0.29,0.27,0.22,0.19103725045332004
2018,0.0441,0.0012,0.0078,0.0272,0.0012,0.8993,0.34,0.26,0.15,0.18614978599779225
2832,0.6374,0.0025,0.02,0.0362,0.0006,0.2947,0.84,0.89,0.16,0.16122123779732672
1462,0.0441,0.0009,0.0141,0.0638,0.0001,0.8512,0.29,0.16,0.14,0.17827347838537946
2268,0.0992,0.0025,0.0031,0.0295,0.0002,0.8439,0.4,0.08,0.2,0.1739468806498365
2307,0.0379,0.2035,0.0092,0.0109,0.0,0.6473,0.89,0.86,0.23,0.22751386142698285
1233,0.0671,0.0,0.0041,0.0451,0.0,0.8621,0.2,0.01,0.19,0.17109664523666643
1053,0.0158,0.0021,0.0115,0.0088,0.0005,0.9505,0.03,0.0,0.2,0.17200013690383348
511,0.1026,0.0114,0.0013,0.0047,0.0,0.8465,0.34,0.27,0.17,0.18073504304878885
2447,0.0367,0.0025,0.0195,0.0677,0.0002,0.857,0.6,0.55,0.19,0.2015615892007242
1366,0.0025,0.0,0.0,0.0031,0.0,0.9789,0.67,0.42,0.23,0.20435102047899747
839,0.0144,0.0013,0.0029,0.0086,0.0005,0.96,0.07,0.13,0.18,0.1815352560830599
2641,0.0125,0.0098,0.0019,0.0072,0.0,0.8689,0.87,0.96,0.27,0.21889012601888178
942,0.0225,0.0006,0.0065,0.0152,0.0,0.9501,0.01,0.01,0.2,0.17410972662208882
2448,0.1109,0.0022,0.0127,0.1751,0.0007,0.6792,0.4,0.28,0.15,0.18371861567938014
1044,0.1029,0.0013,0.0065,0.0048,0.0002,0.8706,0.47,0.79,0.21,0.20782583496853174
3026,0.0208,0.002,0.0023,0.0025,0.0,0.9587,0.2,0.35,0.17,0.19286265235816713
682,0.0074,0.0,0.0734,0.519,0.0017,0.3705,0.94,0.9,0.24,0.21829155689484173
