states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
MICHIGAN,0.0389,0.0104,0.0084,0.0515,0.0,0.8613,0.33,Low Concern,0.33,Low Concern,0.135,0.2
MICHIGAN,0.0453,0.0015,0.0149,0.0181,0.0,0.8989,0.04,Very Low Concern,0.22,Low Concern,0.206,0.17
MICHIGAN,0.0539,0.005,0.023,0.0658,0.0003,0.8284,0.31,Low Concern,0.26,Low Concern,0.188,0.17
MICHIGAN,0.0157,0.009,0.0065,0.0062,0.0,0.9493,0.23,Low Concern,0.28,Low Concern,0.336,0.19
MICHIGAN,0.0146,0.0254,0.0054,0.0386,0.0008,0.901,0.4,Moderate Concern,0.57,Moderate Concern,0.312,0.19
MICHIGAN,0.02,0.0152,0.0049,0.0042,0.0005,0.9374,0.1,Very Low Concern,0.24,Low Concern,0.295,0.2
MICHIGAN,0.0169,0.004,0.0052,0.0028,0.0,0.9578,0.54,Moderate Concern,0.67,High Concern,0.208,0.2
MICHIGAN,0.0137,0.0196,0.0043,0.0034,0.0001,0.9287,0.35,Low Concern,0.45,Moderate Concern,0.298,0.21
MICHIGAN,0.0144,0.0205,0.0043,0.0079,0.0,0.9206,0.29,Low Concern,0.31,Low Concern,0.213,0.19
MICHIGAN,0.0286,0.009,0.0058,0.0086,0.0003,0.9259,0.18,Very Low Concern,0.08,Very Low Concern,0.31,0.18
MICHIGAN,0.0344,0.0032,0.0103,0.1954,0.0001,0.7244,0.66,High Concern,0.4,Moderate Concern,0.179,0.22
MICHIGAN,0.0188,0.1391,0.0099,0.0593,0.0009,0.6962,0.72,High Concern,0.62,High Concern,0.382,0.21
MICHIGAN,0.0201,0.003,0.0093,0.0074,0.0,0.9452,0.37,Low Concern,0.32,Low Concern,0.205,0.19
MICHIGAN,0.0166,0.029,0.0056,0.0073,0.0009,0.9116,0.14,Very Low Concern,0.16,Very Low Concern,0.314,0.2
MICHIGAN,0.0261,0.0089,0.0021,0.0793,0.0002,0.8498,0.78,High Concern,0.63,High Concern,0.185,0.2
MICHIGAN,0.0467,0.003,0.0056,0.0126,0.0003,0.9177,0.24,Low Concern,0.39,Low Concern,0.15,0.2
