states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
GEORGIA,0.0492,0.0024,0.0178,0.5558,0.0021,0.3453,0.93,Very High Concern,0.72,High Concern,0.139,0.26
GEORGIA,0.0653,0.0031,0.0322,0.307,0.0001,0.5625,0.57,Moderate Concern,0.65,High Concern,0.122,0.23
GEORGIA,0.0529,0.0007,0.0368,0.0523,0.0007,0.8414,0.04,Very Low Concern,0.25,Low Concern,0.116,0.22
GEORGIA,0.0321,0.0,0.0078,0.3289,0.0,0.6151,0.83,Very High Concern,0.83,Very High Concern,0.019,0.27
GEORGIA,0.0167,0.0017,0.0075,0.2456,0.0,0.7143,0.38,Low Concern,0.58,Moderate Concern,0.085,0.23
GEORGIA,0.0505,0.0041,0.0,0.0935,0.0,0.8403,0.66,High Concern,0.81,Very High Concern,0.107,0.28
IDAHO,0.0458,0.0043,0.0096,0.0026,0.0,0.9093,0.07,Very Low Concern,0.29,Low Concern,0.157,0.24
IDAHO,0.0758,0.0014,0.0156,0.0017,0.0016,0.883,0.4,Moderate Concern,0.35,Low Concern,0.132,0.27
GEORGIA,0.0384,0.0015,0.0031,0.5311,0.0,0.4201,0.94,Very High Concern,0.91,Very High Concern,0.104,0.26
GEORGIA,0.0605,0.0,0.0114,0.35,0.0002,0.5752,0.54,Moderate Concern,0.6,Moderate Concern,0.201,0.22
GEORGIA,0.0262,0.0,0.0184,0.3796,0.0,0.5732,0.92,Very High Concern,0.91,Very High Concern,0.11,0.24
GEORGIA,0.0274,0.0003,0.0053,0.0873,0.0009,0.8476,0.72,High Concern,0.81,Very High Concern,0.03,0.26
IDAHO,0.0675,0.0054,0.0015,0.0026,0.0001,0.9108,0.14,Very Low Concern,0.33,Low Concern,0.178,0.27
GEORGIA,0.1261,0.0043,0.0196,0.401,0.005,0.3887,0.89,Very High Concern,0.76,High Concern,0.199,0.27
GEORGIA,0.2839,0.0015,0.0178,0.0708,0.0001,0.6082,0.66,High Concern,0.63,High Concern,0.078,0.22
GEORGIA,0.006,0.0003,0.0055,0.5773,0.0,0.4069,0.86,Very High Concern,0.92,Very High Concern,0.094,0.24
IDAHO,0.2624,0.0275,0.0011,0.0053,0.0,0.685,0.82,Very High Concern,0.61,High Concern,0.131,0.26
GEORGIA,0.0458,0.0028,0.002,0.4636,0.0005,0.4585,0.99,Very High Concern,0.93,Very High Concern,0.044,0.27
GEORGIA,0.0231,0.0064,0.0045,0.2714,0.0076,0.6721,0.85,Very High Concern,0.79,High Concern,0.154,0.25
GEORGIA,0.0728,0.0017,0.0091,0.3046,0.0062,0.5923,0.85,Very High Concern,0.83,Very High Concern,0.027,0.24
IDAHO,0.0162,0.0,0.0,0.0,0.0,0.9809,0.13,Very Low Concern,0.4,Moderate Concern,0.183,0.28
GEORGIA,0.0313,0.0012,0.0027,0.377,0.0,0.5739,0.85,Very High Concern,0.79,High Concern,0.023,0.23
GEORGIA,0.0132,0.0,0.0,0.2637,0.0,0.7205,0.95,Very High Concern,0.96,Very High Concern,0.027,0.26
GEORGIA,0.0306,0.0,0.0044,0.399,0.0123,0.5352,0.94,Very High Concern,0.83,Very High Concern,0.044,0.26
IDAHO,0.0356,0.0299,0.0007,0.0034,0.0,0.912,0.76,High Concern,0.56,Moderate Concern,0.247,0.25
GEORGIA,0.0298,0.0007,0.0245,0.207,0.0012,0.7164,0.35,Low Concern,0.51,Moderate Concern,0.017,0.25
GEORGIA,0.0457,0.0004,0.0021,0.1757,0.0,0.7564,0.52,Moderate Concern,0.73,High Concern,0.095,0.22
GEORGIA,0.0383,0.0012,0.0041,0.2829,0.0,0.6678,0.84,Very High Concern,0.91,Very High Concern,0.039,0.26
IDAHO,0.082,0.0039,0.0247,0.0128,0.0014,0.8466,0.14,Very Low Concern,0.13,Very Low Concern,0.259,0.24
GEORGIA,0.0123,0.003,0.0,0.1021,0.0003,0.8738,0.69,High Concern,0.81,Very High Concern,0.046,0.26
IDAHO,0.1707,0.0136,0.026,0.026,0.0036,0.7264,0.59,Moderate Concern,0.54,Moderate Concern,0.178,0.28
IDAHO,0.0342,0.0027,0.0,0.0004,0.001,0.9328,0.3,Low Concern,0.5,Moderate Concern,0.261,0.24
GEORGIA,0.1178,0.0026,0.0135,0.295,0.0,0.5585,0.88,Very High Concern,0.83,Very High Concern,0.09,0.26
IDAHO,0.034,0.0372,0.004,0.0014,0.0002,0.9096,0.54,Moderate Concern,0.47,Moderate Concern,0.159,0.24
GEORGIA,0.1504,0.0013,0.0034,0.0104,0.0,0.8254,0.71,High Concern,0.81,Very High Concern,0.019,0.25
GEORGIA,0.0365,0.0002,0.0093,0.1924,0.0,0.7481,0.72,High Concern,0.77,High Concern,0.12,0.24
GEORGIA,0.0456,0.004,0.0098,0.3409,0.0,0.5852,0.87,Very High Concern,0.78,High Concern,0.028,0.25
GEORGIA,0.0141,0.0,0.0,0.624,0.0,0.3465,0.97,Very High Concern,0.77,High Concern,0.023,0.24
GEORGIA,0.041,0.0056,0.0105,0.2984,0.0006,0.6335,0.84,Very High Concern,0.77,High Concern,0.088,0.28
IDAHO,0.0363,0.0797,0.0032,0.0007,0.0078,0.8464,0.73,High Concern,0.43,Moderate Concern,0.241,0.25
IDAHO,0.2721,0.0108,0.0059,0.0022,0.0002,0.6984,0.67,High Concern,0.27,Low Concern,0.141,0.27
GEORGIA,0.0368,0.0019,0.0217,0.3611,0.0,0.5628,0.9,Very High Concern,0.81,Very High Concern,0.051,0.26
ILLINOIS,0.0177,0.0017,0.0025,0.0374,0.0005,0.9325,0.39,Low Concern,0.39,Low Concern,0.184,0.18
INDIANA,0.0246,0.0043,0.0072,0.009,0.0008,0.9477,0.12,Very Low Concern,0.58,Moderate Concern,0.24,0.2
ILLINOIS,0.0264,0.002,0.0117,0.041,0.0,0.897,0.48,Moderate Concern,0.37,Low Concern,0.248,0.18
IDAHO,0.0462,0.0021,0.0024,0.0006,0.0,0.9459,0.09,Very Low Concern,0.18,Very Low Concern,0.292,0.24
ILLINOIS,0.0105,0.0008,0.0029,0.0068,0.0004,0.9722,0.09,Very Low Concern,0.38,Low Concern,0.183,0.18
INDIANA,0.1586,0.0016,0.0035,0.0067,0.001,0.8214,0.57,Moderate Concern,0.78,High Concern,0.211,0.2
ILLINOIS,0.218,0.003,0.0118,0.0209,0.0,0.73,0.47,Moderate Concern,0.35,Low Concern,0.192,0.16
INDIANA,0.028,0.0005,0.0033,0.0057,0.0,0.9501,0.23,Low Concern,0.61,High Concern,0.189,0.21
ILLINOIS,0.1891,0.0018,0.0036,0.0431,0.0001,0.7548,0.7,High Concern,0.66,High Concern,0.303,0.18
ILLINOIS,0.0277,0.001,0.0214,0.0467,0.0,0.8787,0.52,Moderate Concern,0.54,Moderate Concern,0.203,0.17
INDIANA,0.028,0.0019,0.0089,0.0207,0.0,0.9259,0.44,Moderate Concern,0.57,Moderate Concern,0.238,0.2
ILLINOIS,0.0267,0.0014,0.0115,0.0834,0.0001,0.8555,0.81,Very High Concern,0.29,Low Concern,0.212,0.18
ILLINOIS,0.0121,0.0007,0.0018,0.0018,0.0,0.9816,0.34,Low Concern,0.49,Moderate Concern,0.164,0.17
ILLINOIS,0.0181,0.0,0.0057,0.0013,0.0,0.9595,0.07,Very Low Concern,0.15,Very Low Concern,0.17,0.17
ILLINOIS,0.0138,0.0006,0.0028,0.0079,0.0,0.9648,0.24,Low Concern,0.43,Moderate Concern,0.199,0.18
ILLINOIS,0.0384,0.0097,0.0054,0.0825,0.0,0.8456,0.78,High Concern,0.66,High Concern,0.185,0.18
ILLINOIS,0.0013,0.0024,0.0032,0.0081,0.0,0.9608,0.61,High Concern,0.37,Low Concern,0.202,0.18
INDIANA,0.0172,0.0,0.0073,0.0065,0.0,0.9566,0.06,Very Low Concern,0.37,Low Concern,0.224,0.19
INDIANA,0.0328,0.004,0.0107,0.0509,0.0,0.8782,0.17,Very Low Concern,0.34,Low Concern,0.27,0.18
ILLINOIS,0.1115,0.0005,0.0227,0.0776,0.0,0.7681,0.49,Moderate Concern,0.38,Low Concern,0.147,0.15
ILLINOIS,0.3187,0.0009,0.0401,0.0529,0.0004,0.5705,0.42,Moderate Concern,0.34,Low Concern,0.183,0.14
ILLINOIS,0.0503,0.0026,0.0098,0.1397,0.0002,0.7823,0.81,Very High Concern,0.66,High Concern,0.189,0.19
ILLINOIS,0.1309,0.0007,0.0278,0.0137,0.0,0.8108,0.07,Very Low Concern,0.22,Low Concern,0.176,0.14
ILLINOIS,0.0232,0.0011,0.0013,0.3022,0.0,0.6365,0.69,High Concern,0.69,High Concern,0.166,0.18
ILLINOIS,0.0168,0.0022,0.0043,0.0073,0.0007,0.9585,0.61,High Concern,0.69,High Concern,0.176,0.18
INDIANA,0.0676,0.0022,0.074,0.0154,0.0005,0.8149,0.36,Low Concern,0.55,Moderate Concern,0.214,0.17
INDIANA,0.0248,0.0009,0.0143,0.0686,0.0008,0.868,0.57,Moderate Concern,0.59,Moderate Concern,0.206,0.19
ILLINOIS,0.0178,0.0022,0.0072,0.0263,0.0023,0.9151,0.86,Very High Concern,0.49,Moderate Concern,0.248,0.18
INDIANA,0.0405,0.0006,0.0005,0.0019,0.0001,0.9412,0.37,Low Concern,0.94,Very High Concern,0.133,0.21
ILLINOIS,0.0326,0.0018,0.0104,0.0854,0.0001,0.8507,0.3,Low Concern,0.2,Low Concern,0.262,0.16
INDIANA,0.04,0.0019,0.0593,0.0389,0.0002,0.8367,0.03,Very Low Concern,0.24,Low Concern,0.264,0.13
ILLINOIS,0.0174,0.0,0.0094,0.0097,0.0,0.9543,0.06,Very Low Concern,0.23,Low Concern,0.236,0.16
INDIANA,0.0236,0.0,0.008,0.0237,0.0,0.9238,0.02,Very Low Concern,0.36,Low Concern,0.263,0.19
INDIANA,0.0149,0.0009,0.0,0.0039,0.0,0.9605,0.39,Low Concern,0.8,High Concern,0.163,0.19
IDAHO,0.1703,0.0099,0.0037,0.0019,0.0,0.7893,0.85,Very High Concern,0.67,High Concern,0.173,0.22
ILLINOIS,0.0312,0.0013,0.0069,0.0906,0.0,0.8579,0.65,High Concern,0.61,High Concern,0.204,0.18
ILLINOIS,0.0664,0.0027,0.0,0.1889,0.0,0.7385,0.47,Moderate Concern,0.73,High Concern,0.195,0.17
ILLINOIS,0.0123,0.0018,0.0049,0.0095,0.0,0.9606,0.2,Very Low Concern,0.13,Very Low Concern,0.222,0.18
INDIANA,0.0497,0.0004,0.0027,0.0193,0.0005,0.9156,0.69,High Concern,0.85,Very High Concern,0.171,0.2
ILLINOIS,0.023,0.0008,0.0201,0.1268,0.0004,0.8034,0.44,Moderate Concern,0.16,Very Low Concern,0.304,0.16
ILLINOIS,0.1277,0.0018,0.0263,0.1258,0.0001,0.6902,0.72,High Concern,0.36,Low Concern,0.201,0.17
ILLINOIS,0.0334,0.0052,0.0066,0.0113,0.0003,0.9349,0.31,Low Concern,0.29,Low Concern,0.259,0.19
ILLINOIS,0.057,0.0011,0.005,0.019,0.0,0.9044,0.2,Low Concern,0.32,Low Concern,0.234,0.17
ILLINOIS,0.0248,0.0023,0.0061,0.0677,0.0001,0.8817,0.5,Moderate Concern,0.46,Moderate Concern,0.254,0.18
ILLINOIS,0.0274,0.0004,0.0003,0.0053,0.0008,0.9461,0.13,Very Low Concern,0.32,Low Concern,0.225,0.18
INDIANA,0.0336,0.0045,0.0125,0.0749,0.0002,0.8508,0.48,Moderate Concern,0.57,Moderate Concern,0.189,0.2
ILLINOIS,0.0991,0.0004,0.008,0.0116,0.0004,0.8629,0.08,Very Low Concern,0.26,Low Concern,0.156,0.14
ILLINOIS,0.0519,0.0011,0.0033,0.0161,0.0,0.9107,0.68,High Concern,0.49,Moderate Concern,0.284,0.18
ILLINOIS,0.0295,0.0004,0.002,0.0584,0.0,0.8824,0.75,High Concern,0.62,High Concern,0.132,0.18
ILLINOIS,0.0062,0.0016,0.0026,0.0151,0.0,0.9619,0.43,Moderate Concern,0.53,Moderate Concern,0.219,0.18
ILLINOIS,0.037,0.0008,0.0077,0.0121,0.0,0.9307,0.17,Very Low Concern,0.42,Moderate Concern,0.2,0.17
ILLINOIS,0.0622,0.0027,0.0056,0.0545,0.0009,0.8619,0.3,Low Concern,0.34,Low Concern,0.167,0.17
INDIANA,0.031,0.0,0.0075,0.0036,0.0,0.9488,0.67,High Concern,0.81,Very High Concern,0.195,0.21
INDIANA,0.03,0.0021,0.0296,0.0173,0.0,0.9061,0.04,Very Low Concern,0.2,Very Low Concern,0.283,0.15
INDIANA,0.0125,0.0025,0.0003,0.0237,0.0,0.9551,0.61,High Concern,0.68,High Concern,0.22,0.2
ILLINOIS,0.0276,0.0,0.0057,0.0421,0.0,0.9096,0.45,Moderate Concern,0.69,High Concern,0.133,0.18
ILLINOIS,0.0144,0.0013,0.0029,0.0086,0.0005,0.96,0.07,Very Low Concern,0.13,Very Low Concern,0.287,0.18
ILLINOIS,0.0158,0.0004,0.005,0.0067,0.0,0.9653,0.21,Low Concern,0.4,Low Concern,0.174,0.18
INDIANA,0.0162,0.0005,0.0042,0.0219,0.0,0.9357,0.32,Low Concern,0.56,Moderate Concern,0.224,0.17
ILLINOIS,0.0035,0.0003,0.0009,0.0049,0.0,0.9697,0.24,Low Concern,0.44,Moderate Concern,0.188,0.18
INDIANA,0.0193,0.0013,0.0043,0.006,0.0,0.9537,0.19,Very Low Concern,0.58,Moderate Concern,0.23,0.18
ILLINOIS,0.0481,0.0025,0.0406,0.1761,0.0001,0.699,0.61,High Concern,0.25,Low Concern,0.269,0.16
INDIANA,0.052,0.0031,0.0042,0.0093,0.0005,0.9176,0.35,Low Concern,0.65,High Concern,0.179,0.19
INDIANA,0.0747,0.0016,0.038,0.1128,0.0004,0.7385,0.52,Moderate Concern,0.54,Moderate Concern,0.194,0.18
ILLINOIS,0.016,0.003,0.008,0.0406,0.0002,0.9168,0.25,Low Concern,0.26,Low Concern,0.383,0.17
ILLINOIS,0.0121,0.0,0.0021,0.0139,0.0005,0.9622,0.2,Very Low Concern,0.48,Moderate Concern,0.272,0.18
ILLINOIS,0.0075,0.0,0.0015,0.004,0.0,0.987,0.15,Very Low Concern,0.33,Low Concern,0.208,0.18
INDIANA,0.1898,0.0019,0.0139,0.2338,0.0002,0.5412,0.73,High Concern,0.72,High Concern,0.185,0.18
ILLINOIS,0.0316,0.0006,0.0034,0.1107,0.0,0.8498,0.46,Moderate Concern,0.59,Moderate Concern,0.173,0.18
ILLINOIS,0.0112,0.0016,0.0018,0.0076,0.0,0.9645,0.29,Low Concern,0.2,Low Concern,0.25,0.17
ILLINOIS,0.2529,0.001,0.0723,0.2307,0.0002,0.4229,0.68,High Concern,0.5,Moderate Concern,0.192,0.14
ILLINOIS,0.0726,0.0034,0.0067,0.0069,0.0007,0.9026,0.44,Moderate Concern,0.76,High Concern,0.188,0.17
ILLINOIS,0.0303,0.0034,0.006,0.0057,0.0004,0.9466,0.05,Very Low Concern,0.31,Low Concern,0.273,0.17
ILLINOIS,0.0228,0.0022,0.0101,0.1468,0.0001,0.7626,0.6,Moderate Concern,0.26,Low Concern,0.191,0.18
INDIANA,0.0131,0.001,0.0056,0.0083,0.0003,0.9614,0.08,Very Low Concern,0.45,Moderate Concern,0.205,0.18
ILLINOIS,0.0187,0.0032,0.0054,0.0467,0.0013,0.9213,0.59,Moderate Concern,0.64,High Concern,0.147,0.18
ILLINOIS,0.0145,0.004,0.0016,0.0076,0.0,0.9661,0.29,Low Concern,0.55,Moderate Concern,0.209,0.18
ILLINOIS,0.0162,0.003,0.006,0.0131,0.0009,0.9502,0.24,Low Concern,0.38,Low Concern,0.21,0.18
ILLINOIS,0.0457,0.0,0.0085,0.0413,0.0,0.8915,0.48,Moderate Concern,0.36,Low Concern,0.184,0.19
INDIANA,0.0358,0.0012,0.0338,0.0238,0.0002,0.89,0.14,Very Low Concern,0.38,Low Concern,0.218,0.17
ILLINOIS,0.0576,0.0017,0.011,0.0848,0.0,0.8287,0.65,High Concern,0.48,Moderate Concern,0.235,0.16
ILLINOIS,0.0096,0.0013,0.0,0.0879,0.0,0.8868,0.57,Moderate Concern,0.43,Moderate Concern,0.358,0.17
INDIANA,0.0538,0.0009,0.0104,0.0669,0.0001,0.8321,0.25,Low Concern,0.57,Moderate Concern,0.278,0.19
ILLINOIS,0.0171,0.0045,0.0051,0.0079,0.0,0.9519,0.41,Moderate Concern,0.41,Moderate Concern,0.21,0.18
ILLINOIS,0.0129,0.0019,0.0036,0.0118,0.0,0.9585,0.35,Low Concern,0.41,Moderate Concern,0.248,0.17
ILLINOIS,0.0914,0.0019,0.0087,0.0102,0.0001,0.877,0.29,Low Concern,0.26,Low Concern,0.204,0.16
ILLINOIS,0.0698,0.0007,0.0035,0.0082,0.0,0.8983,0.34,Low Concern,0.38,Low Concern,0.224,0.19
ILLINOIS,0.0146,0.0016,0.0076,0.007,0.0008,0.9625,0.54,Moderate Concern,0.55,Moderate Concern,0.219,0.18
ILLINOIS,0.0183,0.0004,0.0052,0.006,0.0,0.955,0.02,Very Low Concern,0.14,Very Low Concern,0.246,0.16
INDIANA,0.0602,0.0,0.0033,0.0059,0.0,0.9157,0.27,Low Concern,0.59,Moderate Concern,0.188,0.19
ILLINOIS,0.0234,0.0014,0.0103,0.0124,0.0001,0.9395,0.11,Very Low Concern,0.15,Very Low Concern,0.249,0.16
ILLINOIS,0.0153,0.0027,0.0035,0.0044,0.0,0.9559,0.05,Very Low Concern,0.24,Low Concern,0.285,0.18
INDIANA,0.0163,0.0031,0.0072,0.0003,0.0,0.9552,0.37,Low Concern,0.69,High Concern,0.224,0.21
INDIANA,0.0428,0.0016,0.0098,0.0697,0.0,0.8492,0.73,High Concern,0.75,High Concern,0.198,0.2
INDIANA,0.039,0.0015,0.029,0.0671,0.0001,0.8425,0.08,Very Low Concern,0.36,Low Concern,0.265,0.16
ILLINOIS,0.0131,0.0059,0.0,0.3345,0.0,0.6276,0.96,Very High Concern,0.58,Moderate Concern,0.131,0.18
ILLINOIS,0.0314,0.0018,0.0059,0.1007,0.0001,0.8485,0.46,Moderate Concern,0.51,Moderate Concern,0.212,0.18
ILLINOIS,0.015,0.0002,0.0037,0.0061,0.0,0.9615,0.12,Very Low Concern,0.4,Low Concern,0.278,0.17
INDIANA,0.1536,0.0036,0.0128,0.0113,0.0002,0.7971,0.72,High Concern,0.78,High Concern,0.181,0.2
INDIANA,0.1593,0.0014,0.0105,0.054,0.0005,0.7478,0.77,High Concern,0.77,High Concern,0.174,0.2
INDIANA,0.0203,0.0013,0.0091,0.0276,0.0007,0.927,0.59,Moderate Concern,0.67,High Concern,0.299,0.19
ILLINOIS,0.187,0.0005,0.0319,0.0699,0.0,0.695,0.14,Very Low Concern,0.24,Low Concern,0.202,0.14
ILLINOIS,0.0301,0.0003,0.0038,0.0027,0.0,0.9453,0.05,Very Low Concern,0.19,Very Low Concern,0.233,0.16
ILLINOIS,0.0327,0.0008,0.0032,0.064,0.0007,0.8767,0.38,Low Concern,0.43,Moderate Concern,0.229,0.18
ILLINOIS,0.0956,0.0022,0.0248,0.029,0.0,0.8321,0.61,High Concern,0.38,Low Concern,0.226,0.17
ILLINOIS,0.2169,0.0013,0.0765,0.0655,0.0003,0.6164,0.35,Low Concern,0.18,Very Low Concern,0.195,0.13
ILLINOIS,0.0244,0.001,0.0037,0.0063,0.0,0.953,0.11,Very Low Concern,0.23,Low Concern,0.232,0.17
ILLINOIS,0.0253,0.0018,0.0122,0.0387,0.0003,0.9092,0.5,Moderate Concern,0.59,Moderate Concern,0.172,0.17
INDIANA,0.008,0.0,0.009,0.0014,0.0,0.9683,0.15,Very Low Concern,0.54,Moderate Concern,0.135,0.18
ILLINOIS,0.013,0.0051,0.0012,0.0051,0.0,0.9562,0.45,Moderate Concern,0.65,High Concern,0.272,0.18
ILLINOIS,0.0596,0.0014,0.1073,0.1335,0.0007,0.6716,0.5,Moderate Concern,0.44,Moderate Concern,0.288,0.15
ILLINOIS,0.1012,0.0023,0.0054,0.0102,0.0002,0.8679,0.29,Low Concern,0.35,Low Concern,0.185,0.16
INDIANA,0.0246,0.0047,0.0023,0.0143,0.0,0.9503,0.38,Low Concern,0.6,Moderate Concern,0.173,0.2
ILLINOIS,0.0141,0.001,0.0031,0.0044,0.0,0.9563,0.1,Very Low Concern,0.35,Low Concern,0.263,0.18
ILLINOIS,0.12,0.0014,0.0052,0.0154,0.001,0.8457,0.33,Low Concern,0.31,Low Concern,0.189,0.17
ILLINOIS,0.0128,0.0064,0.0008,0.0014,0.0026,0.967,0.14,Very Low Concern,0.29,Low Concern,0.251,0.18
INDIANA,0.0453,0.0003,0.0029,0.0113,0.0,0.9348,0.59,Moderate Concern,0.91,Very High Concern,0.205,0.2
ILLINOIS,0.0443,0.0025,0.0344,0.1494,0.0004,0.7402,0.7,High Concern,0.52,Moderate Concern,0.292,0.18
ILLINOIS,0.0211,0.0009,0.0053,0.005,0.0,0.9585,0.2,Very Low Concern,0.12,Very Low Concern,0.18,0.18
ILLINOIS,0.034,0.0012,0.0075,0.0684,0.0001,0.8637,0.23,Low Concern,0.41,Moderate Concern,0.24,0.18
INDIANA,0.0054,0.0002,0.0028,0.0084,0.0004,0.9614,0.33,Low Concern,0.51,Moderate Concern,0.244,0.2
INDIANA,0.0701,0.0014,0.0223,0.0107,0.0003,0.8814,0.54,Moderate Concern,0.68,High Concern,0.209,0.17
ILLINOIS,0.1427,0.0006,0.1181,0.047,0.0002,0.669,0.16,Very Low Concern,0.08,Very Low Concern,0.218,0.12
ILLINOIS,0.0126,0.0052,0.0089,0.0031,0.0,0.9698,0.19,Very Low Concern,0.38,Low Concern,0.331,0.18
ILLINOIS,0.0135,0.0005,0.0054,0.0055,0.0,0.9621,0.0,Very Low Concern,0.05,Very Low Concern,0.332,0.18
INDIANA,0.0201,0.002,0.0146,0.0065,0.0,0.9503,0.21,Low Concern,0.56,Moderate Concern,0.244,0.2
ILLINOIS,0.0492,0.0017,0.0508,0.0826,0.0002,0.7947,0.19,Very Low Concern,0.28,Low Concern,0.17,0.15
ILLINOIS,0.1285,0.0029,0.0252,0.0984,0.0004,0.7179,0.71,High Concern,0.26,Low Concern,0.228,0.17
ILLINOIS,0.0094,0.0018,0.001,0.0272,0.0,0.9462,0.5,Moderate Concern,0.53,Moderate Concern,0.2,0.18
INDIANA,0.0796,0.0023,0.0126,0.0075,0.0003,0.8784,0.46,Moderate Concern,0.71,High Concern,0.16,0.19
ILLINOIS,0.0302,0.0028,0.0008,0.0375,0.0002,0.9178,0.58,Moderate Concern,0.46,Moderate Concern,0.216,0.17
ILLINOIS,0.0971,0.0007,0.0071,0.0258,0.0002,0.8544,0.43,Moderate Concern,0.33,Low Concern,0.175,0.17
ILLINOIS,0.0107,0.0004,0.0042,0.0007,0.0006,0.9667,0.16,Very Low Concern,0.35,Low Concern,0.187,0.17
INDIANA,0.0521,0.0006,0.0008,0.005,0.0008,0.9249,0.33,Low Concern,0.57,Moderate Concern,0.157,0.2
ILLINOIS,0.0352,0.0046,0.0036,0.0754,0.0,0.878,0.37,Low Concern,0.41,Moderate Concern,0.21,0.18
INDIANA,0.0252,0.0007,0.0044,0.0023,0.0,0.9531,0.2,Low Concern,0.72,High Concern,0.202,0.2
INDIANA,0.0182,0.0021,0.004,0.025,0.0004,0.9349,0.38,Low Concern,0.6,High Concern,0.22,0.21
ILLINOIS,0.0559,0.0,0.008,0.0052,0.0,0.9198,0.03,Very Low Concern,0.22,Low Concern,0.251,0.16
ILLINOIS,0.0267,0.0002,0.0093,0.0066,0.0,0.9388,0.32,Low Concern,0.66,High Concern,0.266,0.18
INDIANA,0.0146,0.0003,0.002,0.0035,0.0005,0.9662,0.44,Moderate Concern,0.7,High Concern,0.184,0.2
ILLINOIS,0.104,0.0018,0.0084,0.1511,0.0,0.7197,0.67,High Concern,0.48,Moderate Concern,0.149,0.18
ILLINOIS,0.0312,0.0026,0.0056,0.0345,0.0,0.9144,0.18,Very Low Concern,0.24,Low Concern,0.25,0.18
ILLINOIS,0.0154,0.0,0.013,0.0018,0.0,0.9629,0.0,Very Low Concern,0.11,Very Low Concern,0.234,0.18
ILLINOIS,0.0203,0.0021,0.0064,0.0362,0.0,0.9117,0.74,High Concern,0.43,Moderate Concern,0.171,0.18
ILLINOIS,0.0396,0.0018,0.0085,0.0961,0.0,0.8245,0.5,Moderate Concern,0.47,Moderate Concern,0.212,0.16
INDIANA,0.0405,0.0013,0.0015,0.0116,0.0001,0.9392,0.12,Very Low Concern,0.52,Moderate Concern,0.138,0.2
INDIANA,0.0783,0.0,0.0071,0.0065,0.0,0.9021,0.21,Low Concern,0.34,Low Concern,0.262,0.19
ILLINOIS,0.041,0.0017,0.0145,0.2984,0.0001,0.6164,0.52,Moderate Concern,0.41,Moderate Concern,0.272,0.18
ILLINOIS,0.1737,0.0006,0.0543,0.1111,0.0002,0.6368,0.2,Low Concern,0.26,Low Concern,0.18,0.15
IOWA,0.0314,0.003,0.0069,0.0275,0.0,0.9114,0.26,Low Concern,0.06,Very Low Concern,0.208,0.2
IOWA,0.0617,0.0024,0.006,0.0078,0.0002,0.9102,0.22,Low Concern,0.01,Very Low Concern,0.248,0.21
IOWA,0.0268,0.0035,0.0056,0.0071,0.0,0.9477,0.1,Very Low Concern,0.04,Very Low Concern,0.245,0.19
INDIANA,0.066,0.0029,0.0057,0.1092,0.0,0.7927,0.72,High Concern,0.75,High Concern,0.21,0.2
IOWA,0.0435,0.0141,0.0008,0.0123,0.0003,0.9185,0.12,Very Low Concern,0.04,Very Low Concern,0.239,0.2
IOWA,0.0381,0.0051,0.0017,0.0011,0.0,0.9373,0.53,Moderate Concern,0.03,Very Low Concern,0.243,0.21
INDIANA,0.0115,0.0032,0.0018,0.0075,0.0,0.9704,0.24,Low Concern,0.58,Moderate Concern,0.22,0.2
IOWA,0.0281,0.0022,0.0033,0.0231,0.0,0.9335,0.17,Very Low Concern,0.04,Very Low Concern,0.238,0.18
INDIANA,0.0642,0.0014,0.0,0.0024,0.0,0.9295,0.34,Low Concern,0.64,High Concern,0.129,0.19
IOWA,0.0158,0.0036,0.0026,0.0017,0.0,0.961,0.07,Very Low Concern,0.07,Very Low Concern,0.244,0.2
IOWA,0.0225,0.0006,0.0065,0.0152,0.0,0.9501,0.01,Very Low Concern,0.01,Very Low Concern,0.191,0.2
INDIANA,0.0134,0.0038,0.0034,0.0009,0.0,0.9676,0.38,Low Concern,0.75,High Concern,0.189,0.18
INDIANA,0.0165,0.0,0.0011,0.0163,0.0,0.9569,0.26,Low Concern,0.67,High Concern,0.266,0.2
INDIANA,0.0088,0.0028,0.0023,0.0115,0.0004,0.9643,0.45,Moderate Concern,0.55,Moderate Concern,0.205,0.2
INDIANA,0.087,0.0028,0.0239,0.1267,0.0008,0.7256,0.62,High Concern,0.61,High Concern,0.234,0.19
IOWA,0.0151,0.0016,0.0033,0.0052,0.0,0.9603,0.01,Very Low Concern,0.01,Very Low Concern,0.252,0.21
INDIANA,0.0126,0.0038,0.0049,0.0023,0.0,0.9615,0.35,Low Concern,0.66,High Concern,0.157,0.2
IOWA,0.2195,0.0011,0.0367,0.0119,0.0004,0.709,0.69,High Concern,0.14,Very Low Concern,0.241,0.21
IOWA,0.032,0.0001,0.0213,0.0193,0.0,0.9165,0.15,Very Low Concern,0.0,Very Low Concern,0.229,0.21
INDIANA,0.0301,0.0016,0.0064,0.0019,0.0015,0.9412,0.23,Low Concern,0.69,High Concern,0.227,0.19
