,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
36,0.2289,0.0018,0.0877,0.2011,0.0005,0.4487,0.74,0.05,0.07,0.13849406126914793
37,0.1149,0.0017,0.0489,0.045,0.0003,0.7638,0.41,0.03,0.07,0.1540565990266936
38,0.0735,0.0031,0.0069,0.0123,0.0,0.8843,0.18,0.28,0.21,0.18125059231388957
39,0.015,0.0058,0.0019,0.004,0.0007,0.9578,0.26,0.37,0.19,0.19484701073868457
40,0.0157,0.0365,0.0014,0.0767,0.0,0.836,0.45,0.53,0.21,0.2072263915036978
41,0.0295,0.0037,0.006,0.0051,0.0001,0.9413,0.09,0.22,0.2,0.18242914181541722
42,0.0159,0.0979,0.004,0.093,0.0006,0.7263,0.66,0.63,0.19,0.21597271971077953
43,0.0202,0.0127,0.0036,0.0041,0.0,0.9464,0.51,0.44,0.2,0.20125185379918567
44,0.0533,0.0027,0.0058,0.0167,0.0,0.9006,0.44,0.29,0.19,0.18803999836069246
45,0.0201,0.0056,0.0012,0.0062,0.0,0.9481,0.77,0.71,0.23,0.21676218704057235
46,0.0389,0.0104,0.0084,0.0515,0.0,0.8613,0.33,0.33,0.2,0.18918046310728498
47,0.0453,0.0015,0.0149,0.0181,0.0,0.8989,0.04,0.22,0.17,0.1760307908576771
48,0.0539,0.005,0.023,0.0658,0.0003,0.8284,0.31,0.26,0.17,0.17963468964141444
49,0.0157,0.009000000000000001,0.0065,0.0062,0.0,0.9493,0.23,0.28,0.19,0.18896073024969823
50,0.0146,0.0254,0.0054,0.0386,0.0008,0.901,0.4,0.57,0.19,0.20739651158870778
51,0.02,0.0152,0.0049,0.0042,0.0005,0.9374,0.1,0.24,0.2,0.18539543321932583
52,0.0169,0.004,0.0052,0.0028,0.0,0.9578,0.54,0.67,0.2,0.21073835232588134
53,0.0137,0.0196,0.0043,0.0034,0.0001,0.9287,0.35,0.45,0.21,0.19793730203781643
54,0.0144,0.0205,0.0043,0.0079,0.0,0.9206,0.29,0.31,0.19,0.1907029077314521
55,0.0286,0.009000000000000001,0.0058,0.0086,0.0003,0.9259,0.18,0.08,0.18,0.17743658996561132
56,0.0344,0.0032,0.0103,0.1954,0.0001,0.7244,0.66,0.4,0.22,0.2007710632525386
57,0.0188,0.1391,0.0099,0.0593,0.0009,0.6962,0.72,0.62,0.21,0.2146255848889085
58,0.0201,0.003,0.0093,0.0074,0.0,0.9452,0.37,0.32,0.19,0.1906845307188778
59,0.0166,0.029,0.0056,0.0073,0.0009,0.9116,0.14,0.16,0.2,0.18245317513526535
60,0.0261,0.0089,0.0021,0.0793,0.0002,0.8498,0.78,0.63,0.2,0.2132279303037464
61,0.0467,0.003,0.0056,0.0126,0.0003,0.9177,0.24,0.39,0.2,0.19095854757188374
62,0.1057,0.0021,0.0299,0.0923,0.0002,0.7375,0.48,0.19,0.19,0.17093976956385662
63,0.0797,0.0031,0.0031,0.0227,0.0002,0.8667,0.41,0.35,0.21,0.1884897278571216
64,0.0244,0.0023,0.0091,0.0058,0.0006,0.9434,0.01,0.17,0.16,0.17833818679942887
65,0.0412,0.0022,0.0745,0.1351,0.0002,0.72,0.11,0.11,0.15,0.15316901176869233
66,0.0182,0.0221,0.0041,0.0032,0.0,0.9289,0.28,0.55,0.21,0.2019644417516781
67,0.0164,0.0059,0.0015,0.005,0.0005,0.9551,0.67,0.69,0.19,0.21512987624070493
68,0.1489,0.0078,0.0022,0.0106,0.0,0.8170000000000001,0.86,0.63,0.2,0.20272727131201268
