,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predicted_y
654,0.2529,0.006,0.0082,0.0041,0.0025,0.7031,0.74,0.45,0.25,0.16949999999999987
309,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405,0.71,0.81,0.2,0.2143000000000001
2014,0.0748,0.0029,0.0056,0.0235,0.0005,0.8744,0.72,0.33,0.15,0.1947000000000001
879,0.0314,0.0018,0.0059,0.1007,0.0001,0.8485,0.46,0.51,0.18,0.20790000000000003
192,0.0705,0.0027,0.0645,0.1505,0.0,0.6772,0.38,0.34,0.13,0.14150000000000001
194,0.0808,0.0041,0.0108,0.1341,0.0033,0.7514,0.6,0.32,0.17,0.17840000000000003
1924,0.012,0.0078,0.0,0.0149,0.0,0.9653,0.01,0.15,0.17,0.19779999999999984
2233,0.0086,0.0015,0.0008,0.056,0.0,0.9247,0.43,0.55,0.22,0.2038000000000001
1234,0.0145,0.0047,0.0114,0.0085,0.0014,0.9473,0.19,0.19,0.13,0.14529999999999998
2862,0.1606,0.0025,0.0166,0.1639,0.0011,0.6401,0.73,0.86,0.18,0.20350000000000004
44,0.0533,0.0027,0.0058,0.0167,0.0,0.9006,0.44,0.29,0.19,0.1902
1727,0.0128,0.0016,0.008,0.0,0.0,0.9776,0.08,0.2,0.26,0.22779999999999997
1553,0.006999999999999999,0.0024,0.0035,0.2042,0.0,0.782,0.6,0.92,0.27,0.23110000000000003
1094,0.0358,0.0035,0.0003,0.0046,0.0,0.9313,0.05,0.34,0.2,0.19990000000000013
2531,0.027000000000000003,0.0041,0.0067,0.2729,0.0,0.6802,0.26,0.6,0.25,0.22239999999999996
759,0.0231,0.0064,0.0045,0.2714,0.0076,0.6721,0.85,0.79,0.25,0.24430000000000004
2914,0.044,0.0008,0.0108,0.07400000000000001,0.0,0.8390000000000001,0.44,0.14,0.19,0.1750000000000001
2170,0.0399,0.0024,0.0061,0.4204,0.0,0.5206,0.75,0.73,0.17,0.22019999999999992
1730,0.0263,0.1827,0.0056,0.0024,0.0003,0.7692,0.48,0.54,0.27,0.20110000000000014
1517,0.0151,0.0,0.0015,0.1982,0.0,0.7756,0.71,0.93,0.28,0.25609999999999994
578,0.0641,0.0017,0.0349,0.3057,0.0002,0.5652,0.49,0.59,0.2,0.2187999999999999
485,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,0.53,0.8,0.12,0.19400000000000012
1487,0.0152,0.008,0.0094,0.0166,0.0005,0.9209,0.31,0.16,0.19,0.184
442,0.0869,0.0025,0.0473,0.0133,0.0007,0.8223,0.01,0.09,0.12,0.1306
1637,0.0035,0.0,0.0012,0.6129,0.0,0.377,0.84,0.98,0.29,0.27489999999999976
862,0.0358,0.0012,0.0338,0.0238,0.0002,0.89,0.14,0.38,0.17,0.1619
1662,0.0128,0.0094,0.0038,0.0073,0.0,0.9449,0.5,0.78,0.17,0.17850000000000002
2648,0.5222,0.0013,0.0196,0.0563,0.0,0.3965,0.72,0.96,0.17,0.17459999999999998
859,0.0145,0.004,0.0016,0.0076,0.0,0.9661,0.29,0.55,0.18,0.19119999999999984
1874,0.0551,0.0025,0.0,0.0008,0.0,0.9282,0.19,0.14,0.18,0.21439999999999998
240,0.026,0.0047,0.0018,0.0343,0.0,0.9185,0.67,0.88,0.23,0.24220000000000003
2347,0.1181,0.0475,0.0064,0.034,0.001,0.7422,0.65,0.9,0.2,0.20120000000000007
2925,0.0878,0.0003,0.0103,0.3308,0.0,0.5423,0.68,0.3,0.15,0.17929999999999996
2423,0.0305,0.0007,0.0206,0.0126,0.0,0.9142,0.12,0.01,0.11,0.1428000000000001
695,0.0861,0.0255,0.0175,0.0069,0.0016,0.8368,0.58,0.25,0.27,0.18940000000000004
139,0.5197,0.0017,0.0069,0.0247,0.0004,0.4357,0.67,0.95,0.17,0.1797
2988,0.0,0.0014,0.0,0.0,0.0,0.9932,0.06,0.33,0.17,0.22690000000000005
346,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,0.77,0.8,0.23,0.2437
1641,0.0494,0.014,0.0063,0.0007,0.0005,0.903,0.25,0.28,0.22,0.21600000000000003
314,0.0135,0.0056,0.0005,0.4322,0.0025,0.5313,0.88,0.77,0.21,0.23650000000000004
